domain,images_with_captions
06880danwoog.com,1
12thman.com,1
2012-2017.usaid.gov,1
3-steve-rich.pixels.com,1
3diorama.com,4
3dprintingindustry.com,1
6abc.com,5
7500toholte.sbnation.com,1
929thebull.com,5
aadl.org,7
abc11.com,1
abc13.com,1
abc30.com,1
abc7.com,2
abc7news.com,3
abcnews.go.com,42
abcnews4.com,1
about-britain.com,1
accesswdun.com,1
acebourke.wordpress.com,1
acleddata.com,5
acppubs.com,1
acquia-d7.ncronline.org,1
activisthistory.com,1
acultureapiece.com,1
addisarmycricket.co.uk,1
adoremus.org,1
aegeurope.com,1
aerobaticteams.net,1
aeshahadlina.wordpress.com,1
afas.wustl.edu,1
africa-newsroom.com,1
africageographic.com,9
afro.com,3
ahf.nuclearmuseum.org,1
ahmadalikarim.wordpress.com,1
aidsmonument.org,2
aircommando.org,4
airport-world.com,1
aisleseatreview.com,6
alabama.rivals.com,1
alabamaledger.com,1
aleteia.org,2
alexgrant.me,2
alicerosebell.wordpress.com,1
allaboutflinsurance.wordpress.com,1
alumni.cornell.edu,25
america.aljazeera.com,1
americanarchive.org,1
americanfounding.org,1
americansongwriter.com,1
amp.theguardian.com,1
amwaj.media,1
andscape.com,2
angelusnews.com,4
anothereyeopens.com,1
apex.aero,1
apimagesblog.com,10
apimagesblog.wordpress.com,1
apnews.com,94
app.thestorygraph.com,1
applyzones.com,1
appstatesports.com,1
apptrailal.wordpress.com,1
aranca.com,1
architectureas.wordpress.com,1
architectureau.com,4
archive.aramcoworld.com,1
archive.independentmail.com,1
archive.justinjin.com,1
archive.knoxnews.com,1
archive.sltrib.com,1
archive.timesrecordnews.com,1
archive.vanityfair.com,2
armenpress.am,1
arquiste.com,1
artblart.com,9
artistandfan.com,1
artlead.net,1
arts-sciences.buffalo.edu,1
arts.psu.edu,1
artsreview.com.au,1
artuk.org,6
arxiv.org,7
asia.nikkei.com,5
asiapacificdefencereporter.com,1
asiatimes.com,1
asipofsports.wordpress.com,1
astronomynow.com,2
atlantablackstar.com,1
auction.swau.com,5
australianpridenetwork.com.au,1
autos.yahoo.com,1
avafestival.com,5
aviationweek.com,2
axhiopeemyq1.compat.objectstorage.us-phoenix-1.oraclecloud.com,1
azh.kz,1
b105country.com,1
bakersfieldnow.com,4
barandcocoa.com,1
baytobaynews.com,1
bbqboy.net,1
beachbooks.blog,2
becomeanutritionist.org,1
beetlesinthebush.com,3
belonging.berkeley.edu,1
bestbroadwaymusicals.com,1
bg.copernicus.org,1
bicyclingaustralia.com.au,2
bigweekend.store,2
billingsgazette.com,1
billmoyers.com,12
birdsoftheworld.org,4
bitterandblue.sbnation.com,1
biztimes.com,1
bjiujitsu.com,1
blackeconomicalliance.org,1
blackhawkup.com,1
blairwitch.fandom.com,1
bleedingcool.com,1
blog.datawrapper.de,1
blog.nationalarchives.gov.uk,1
blog.smu.edu,1
blog.ticketmaster.com,1
blogs.baylor.edu,1
blogs.bodleian.ox.ac.uk,1
blogs.fangraphs.com,1
blogs.library.duke.edu,10
blogs.nasa.gov,1
blogs.prio.org,1
blogs.ubc.ca,1
bluecollarblueshirts.com,1
bobbyrossjr.com,1
bombmagazine.org,1
bookgrocer.com,1
bookhaven.stanford.edu,2
boomcalifornia.org,2
boston.eater.com,1
br.pinterest.com,1
breakingandentering.net,1
bretmccabe.com,1
bringatrailer.com,1
broadcast.iu.edu,1
brooklynslifestyle.com,1
buckeyehuddle.com,1
